"name","symbol","keyword","flowering_time_effect","conditions_for_effect","phenotype","agi","appears_in","key_articles"
"CALCIUM DEPENDENT PROTEIN KINASE 33","CPK33","Photoperiodism, light perception and  signaling","Positive","LD [no data under SD]","Single mutant: cpk33 single mutant is slightly but significantly late-flowering under LD. ( No data available under SD conditions.) [Kawamoto et al., 2015] Multiple mutant: cpk6;cpk33 multiple mutant is late flowering under LD conditions. ( No data available under SD conditions.) [Kawamoto et al., 2015]","AT1G50700","Photoperiod pathway","Yang T et al., 2003, Trends Plant Sci.Kawamoto N et al., 2015, Sci Rep"
"CALCIUM DEPENDENT PROTEIN KINASE 6","CPK6","Photoperiodism, light perception and  signaling","Positive","LD [no data under SD]","Single mutant: cpk6 single mutant is very slightly but significantly late-flowering under LD. ( No data available under SD conditions.) [Kawamoto et al., 2015] Multiple mutant: cpk6;cpk33 multiple mutant is late flowering under LD conditions. ( No data available under SD conditions.) [Kawamoto et al., 2015]","AT2G17290","Photoperiod pathway","Xu J et al., 2010, PlantaMunemasa S et al., 2011, Plant Physiol.Ye W et al., 2013, Plant Physiol.Laanemets K et al., 2013, Plant Physiol.Kawamoto N et al., 2015, Sci Rep"
"CAP-BINDING PROTEIN 20","CBP20","General","Negative","LD [no data under SD]","Single mutant: cbp20 single mutant is early flowering under LD conditions in Col-0 and Col FRI backgrounds. (No data available under SD conditions. The whole plant development seems to be delayed.) [Geraldo et al., 2009][Papp et al., 2004] Remarks : cbp20 single mutant has reduced miRNA levels and increased pri-miRNA levels. [Kim et al., 2008] Remarks: CBP20 is required for FRI activity. Loss of CBP20 results in reduced mature FLC mRNA levels and an increase of unspliced FLC transcripts. [Geraldo et al., 2009]","AT5G44200","microRNA biosynthesisFLC regulation through protein complexesGeneral processes & autonomous pathway","Hugouvieux V et al., 2001, CellKmieciak M et al., 2002, GenePapp I et al., 2004, Plant Mol. Biol.Kim S et al., 2008, Plant Cell Physiol.Geraldo N et al., 2009, Plant Physiol.Jäger K et al., 2011, Plant Biol (Stuttg)Kong X et al., 2014, J. Proteome Res.Raczynska K D et al., 2014, Nucleic Acids Res."
"CASEIN KINASE II BETA SUBUNIT 3","CKB3","Circadian Clock","Positive","SD and LD","Overexpressor: CKB3 overexpressor is early flowering under both SD and LD conditions. [Sugano et al., 1999]Remarks : Overexpression of CKB3 shortens the ciradian period of CCA1 and LHY expression. [Sugano et al., 1999] Remarks: Remarks","AT3G60250","Circadian clock overview","Sugano S et al., 1998, Proc. Natl. Acad. Sci. U.S.A.Sugano S et al., 1999, Proc. Natl. Acad. Sci. U.S.A."
"CASEIN KINASE II BETA SUBUNIT 4","CKB4","Circadian Clock","Positive","SD only","Overexpressor: CKB4 overexpressor is early flowering under SD conditions only. [Portolés et al., 2007]","AT2G44680","Circadian clock overview","Perales M et al., 2006, Plant J.Portolés S et al., 2007, Plant J.Portolés S et al., 2010, PLoS Genet."
"CAULIFLOWER","CAL","Flower development and meristem identity",,"None","Multiple mutant: cal mutation dramatically enhance the flower developmental defects of ap1 single mutants: each flower meristem is converted into an infloresence meristem. [ et al., ][Kempin et al., 1995] Single mutant: ag single mutant does not display any flower defects but produces more axillary inflorescences.  Multiple mutant: ap1 ;cal ;ful multiple mutant does not flower. [Ferrándiz et al., 2000]","AT1G26310","Specification of flower mersitems","Kempin S A et al., 1995, ScienceSmyth D R et al., 1995, Curr. Biol.Purugganan M D et al., 1998, Proc. Natl. Acad. Sci. U.S.A.Ferrándiz C et al., 2000, DevelopmentAlvarez-Buylla E R et al., 2006, J. Exp. Bot."
"CIRCADIAN CLOCK ASSOCIATED 1","CCA1","Circadian Clock","Negative","SD only","Single mutant: cca1 single mutant is slightly early flowering under SD conditions only. [Mizoguchi et al., 2002] Multiple mutant: lhy;cca1 multiple mutant is early flowering under both SD and LD conditions. [Fujiwara et al., 2008][ et al., ][Mizoguchi et al., 2002] Overexpressor: CCA1 overexpressor is late flowering under both SD and LD conditions. [Wang et al., 1998][Lu et al., 2012] Remarks: CCA1 is partially redundant with LHY and controls SVP protein accumlulation. [Mizoguchi et al., 2002][Fujiwara et al., 2008]","AT2G46830","Circadian clock overview","Wang Z Y et al., 1997, Plant CellWang Z Y et al., 1998, CellGreen R M et al., 1999, Proc. Natl. Acad. Sci. U.S.A.Alabadí D et al., 2001, ScienceMizoguchi T et al., 2002, Dev. CellAlabadí D et al., 2002, Curr. Biol.Daniel X et al., 2004, Proc. Natl. Acad. Sci. U.S.A.Kikis E A et al., 2005, Plant J.Fujiwara S et al., 2008, Plant CellGutiérrez R A et al., 2008, Proc. Natl. Acad. Sci. U.S.A.Lu S X et al., 2012, Plant Physiol.Nagel D H et al., 2015, Proc. Natl. Acad. Sci. U.S.A."
"CLEAVAGE STIMULATING FACTOR 64","CSTF64","General","Positive","LD [no data under SD]","Single mutant: cstf64 single mutant is late flowering under LD conditions. (No data available under SD conditions. Pleiotropic defects.  Remarks: CSTF64 is involved in the 3""-end processing of the antisense FLC mRNA. cstf64 single mutant has increased FLC expression levels. [Liu et al., 2010]","AT1G71800","VernalizationGeneral processes & autonomous pathway","Yao Y et al., 2002, J. Exp. Bot.Herr A J et al., 2006, Proc. Natl. Acad. Sci. U.S.A.Liu F et al., 2010, Science"
"CLEAVAGE STIMULATING FACTOR 77","CSTF77","General","Positive","LD [no data under SD]","Single mutant: cstf77 single mutant is late flowering and shows pleiotropic defects. (No data available about growth conditions, but data were probably acquired under LD conditions.) [Liu et al., 2010] Remarks: CSTF77 is involved in the 3"" end processing of the antisense FLC mRNA. cstf77 single mutant has increased FLC expression levels [Liu et al., 2010]","AT1G17760","VernalizationGeneral processes & autonomous pathway","Yao Y et al., 2002, J. Exp. Bot.Herr A J et al., 2006, Proc. Natl. Acad. Sci. U.S.A.Liu F et al., 2010, Science"
"COLD SHOCK PROTEIN 2, GLYCINE RICH PROTEIN 2","CSP2, GRP2","General","Negative","SD [no data under LD]","RNA interference : RNAi donwregulation of CSP2 expression leads to early flowering under SD conditions. No data available under LD conditions.[Fusaro et al., 2007] Remarks : The induction of flowering by a LD treatment performed on SD-grown plants leads to an increased expression of all CSP genes. [Nakaminami et al., 2009] Overexpressor: CSP2 overexpressor is late flowering under LD conditions. No data available under SD conditions.[Sasaki et al., 2013] Single mutant: csp2 single mutant does not display any flowering-time phenotype. [Sasaki et al., 2013]","AT4G38680","General processes & autonomous pathway","Fusaro A F et al., 2007, PlantaNakaminami K et al., 2009, J. Exp. Bot.Sasaki K et al., 2013, New Phytol.Sasaki K et al., 2015, Biochem. Biophys. Res. Commun."
"CONSTANS","CO","Photoperiodism, light perception and  signaling","Positive","LD only","Single mutant: co single mutant is late flowering under LD conditions only. [Koornneef et al., 1991][Putterill et al., 1995][Simon et al., 1996][Samach et al., 2000] Overexpressor: CO overexpressor is early flowering under both SD and LD conditions [Onouchi et al., 2000][Simon et al., 1996][Suárez-López et al., 2001][Samach et al., 2000]","AT5G15840","OverviewCircadian clock overviewPhotoperiod pathwayTime-course regulation of photoperiodic pathway","Koornneef M et al., 1991, Mol. Gen. Genet.Putterill J et al., 1993, Mol. Gen. Genet.Hensel L L et al., 1993, Plant CellPutterill J et al., 1995, CellSimon R et al., 1996, NatureSamach A et al., 2000, ScienceOnouchi H et al., 2000, Plant CellSuárez-López P et al., 2001, NatureValverde F et al., 2004, ScienceAn H et al., 2004, DevelopmentYoo S K et al., 2005, Plant Physiol.Wenkel S et al., 2006, Plant Cell"
"CONSTANS-LIKE 5","COL5","Photoperiodism, light perception and  signaling","Positive","SD only","Overexpressor: COL5 overexpressor is early flowering under SD conditions only. [Hassidim et al., 2009] Remarks: COL5 overexpressor displays higher expression levels of FT , whereas the expression levels of CO remains unchanged. [Hassidim et al., 2009] Remarks : No flowering-time phenotype observed for col5 mutant. [Hassidim et al., 2009]","AT5G57660","Photoperiod pathway","Hassidim M et al., 2009, Planta"
"CONSTANS-LIKE 9","COL9","Photoperiodism, light perception and  signaling","Negative","LD only","Single mutant: col9 single mutant is early flowering under LD conditions. [Cheng et al., 2005] Overexpressor: COL9 overexpressor is late flowering under LD conditions only. [Cheng et al., 2005]","AT3G07650","Photoperiod pathway","Cheng X et al., 2005, Plant J."
"CONSTITUTIVE PHOTOMORPHOGENIC 1","COP1","Photoperiodism, light perception and  signaling","Negative","SD and LD","Single mutant: cop1 single mutant is late flowering under both SD and LD conditions. ( However, McNellis et al. (1994) suggested a phenotype restricted to SD conditions.)  Remarks: Overexpression of COP1 in phloem companion cells of cop1-4 mutant partially restored the wild-type flowering time. [Jang et al., 2008] Remarks:The phenotype of the cop1 mutant is largely dependent on CO expression, since COP1 is involved in the degradation of CO protein during the night. [Jang et al., 2008]","AT2G32950","Photoperiod pathwayTime-course regulation of photoperiodic pathway","Deng X W et al., 1991, Genes Dev.Deng X W et al., 1992, CellMcNellis T W et al., 1994, Plant CellWang H et al., 2001, ScienceJang S et al., 2008, EMBO J.Liu L et al., 2008, Plant CellSarid-Krebs L et al., 2015, Plant J.Chen S et al., 2015, PLoS Genet."
"CRYPTOCHROME 1","CRY1","Photoperiodism, light perception and  signaling","Positive","LD only","Multiple mutant: cry1;cry2 double mutant is late flowering under LD conditions and continous blue light conditions. Single mutant: cry1 single mutant does not display any flowering-time phenotype.","AT4G08920","Photoperiod pathwayTime-course regulation of photoperiodic pathway","Lin C et al., 1995, ScienceBagnall D J et al., 1996, PlantaAhmad M et al., 1998, Mol. CellValverde F et al., 2004, ScienceLiu L et al., 2008, Plant Cell"
"CRYPTOCHROME 2","CRY2","Photoperiodism, light perception and  signaling","Positive","LD only","Single mutant : cry2 single mutant is late flowering under LD conditions. [Koornneef et al., 1991][Guo et al., 1998] Multiple mutant: cry1;cry2 double mutant is late flowering under LD conditions and continuous blue light [Mockler et al., 2003][Liu et al., 2008] Remarks : Remarks [ et al., ][Liu et al., 2008]","AT1G04400","Photoperiod pathwayTime-course regulation of photoperiodic pathway","Koornneef M et al., 1991, Mol. Gen. Genet.Guo H et al., 1998, ScienceEl-Din El-Assal S et al., 2003, Plant Physiol.Valverde F et al., 2004, ScienceEndo M et al., 2007, Plant CellLiu H et al., 2008, ScienceLiu L et al., 2008, Plant CellLiu Y et al., 2013, PLoS Genet.Liu H et al., 2013, Proc. Natl. Acad. Sci. U.S.A."
"CRYPTOCHROME-INTERACTING BASIC-HELIX-LOOP-HELIX 1","CIB1","Photoperiodism, light perception and  signaling","Positive","LD [no data under SD]","Multiple mutant: cib1;cib5 multiple mutant is slightly late flowering under LD conditions. ( No data available under SD conditions.) [Liu et al., 2008] Overexpressor: CIB1 overexpressor is early flowering under LD conditions. [Liu et al., 2008] Single mutant : cib1 single mutant does not display any flowering-time phenotype. [Liu et al., 2008] Remarks: CIB1 interacts with CRY2 in a blue light dependent manner. [Liu et al., 2008]","AT4G34530","Photoperiod pathwayTime-course regulation of photoperiodic pathway","Liu H et al., 2008, ScienceLi X et al., 2011, Proc. Natl. Acad. Sci. U.S.A.Liu Y et al., 2013, PLoS Genet.Liu H et al., 2013, Proc. Natl. Acad. Sci. U.S.A."
"CRYPTOCHROME-INTERACTING BASIC-HELIX-LOOP-HELIX 2","CIB2","Photoperiodism, light perception and  signaling","Positive","LD [no data under SD]","Overexpressor: CIB2 overexpressor is early flowering under LD conditions. (No data available under SD conditions.) [Liu et al., 2013]","AT5G48560",,"Liu Y et al., 2013, PLoS Genet."
"CRYPTOCHROME-INTERACTING BASIC-HELIX-LOOP-HELIX 4","CIB4","Photoperiodism, light perception and  signaling","Positive","LD [no data under SD]","Overexpressor: CIB4 overexpressor is early flowering under LD conditions. (No data available under SD conditions.) [Liu et al., 2013]","AT1G10120",,"Liu Y et al., 2013, PLoS Genet."
"CRYPTOCHROME-INTERACTING BASIC-HELIX-LOOP-HELIX 5","CIB5","Photoperiodism, light perception and  signaling","Positive","LD [no data under SD]","Multiple mutant: cib1;cib5 multiple mutant is slightly late flowering under LD conditions. ( No data available under SD conditions.) [Liu et al., 2008] Overexpressor: CIB5 overexpressor is early flowering under LD conditions. [Liu et al., 2013] Remarks: CIB5 Interacts with CRY2 in a blue light dependent manner. [Liu et al., 2008]","AT1G26260",,"Liu H et al., 2008, ScienceLiu Y et al., 2013, PLoS Genet."
"CULLIN 3A","CUL3A","Vernalization","Positive","LD [no data under SD]","Single mutant: cul3a single mutant is late flowering under LD conditions. ( No data under SD conditions.)  Multiple mutant: The cul3a;cul3b multiple hypomorphic mutant is late flowering under LD conditions. (No data under SD conditions.) [Thomann et al., 2009] RNA interference : RNAi downregulation of CUL3A expression partially impairs the response to vernalization in the Col FRI background under LD conditions. ( No data under SD conditions.) [Hu et al., 2014]","AT1G26830","Vernalization","Figueroa P et al., 2005, Plant CellThomann A et al., 2005, Plant J.Thomann A et al., 2009, PLoS Genet.Roberts D et al., 2011, Plant CellFu Z Q et al., 2012, NatureHu X et al., 2014, Plant Cell"
"CULLIN 4","CUL4","General","Negative","SD only","Single mutant: cul4 single mutant is early flowering under SD conditions only. [Chen et al., 2010] Remarks : CUL4 interacts with COP1 and SPA1, but also MSI4 and DDB1. Together, they interact with the PRC2 complex to repress FLC and FT expression. [Chen et al., 2010][Pazhouhandeh et al., 2011] Remarks : cul4 single mutant has increased FLC and FT expression levels. [Pazhouhandeh et al., 2011]","AT5G46210","Time-course regulation of photoperiodic pathwayGeneral processes & autonomous pathway","Bernhardt A et al., 2006, Plant J.Chen H et al., 2010, Plant CellPazhouhandeh M et al., 2011, Proc. Natl. Acad. Sci. U.S.A."
"CURLY LEAF , SETDOMAIN GROUP 1","CLF, SDG1","General Vernalization","Negative","SD and LD","Single mutant: clf single mutant is early flowering under both SD and LD conditions. ( The early flowering phenotype is stronger under SD than LD conditions.)[Goodrich et al., 1997] Remarks: clf single mutant also displays leaf morphology defects. CLF is required for the stable repression of AG and AP3 expression.[Goodrich et al., 1997] Remarks: Remarks","AT2G23380","Time-course regulation of photoperiodic pathwayMains targets of ABC(E)genesFLC regulation through protein complexesGeneral processes & autonomous pathway","Goodrich J et al., 1997, NatureKim G T et al., 1998, PlantaSaleh A et al., 2007, Nucleic Acids Res.Doyle M R et al., 2009, Plant Physiol.Heo J B et al., 2011, ScienceLopez-Vernaza M et al., 2012, PLoS ONE"
